city,state_id,state_name,county_name,population,lat,lng
Maywood,CA,California,,27888,33.98668,-118.18535
Seguin,TX,Texas,,27864,29.56884,-97.96473
Shirley,NY,New York,,27854,40.80149,-72.8676
Livingston,NJ,New Jersey,,27853,40.79593,-74.31487
Round Lake Beach,IL,Illinois,,27852,42.37169,-88.09008
Sterling,VA,Virginia,,27822,39.00622,-77.4286
Middletown,NY,New York,,27812,41.44593,-74.42293
Fountain,CO,Colorado,,27767,38.68222,-104.70081
Saratoga Springs,NY,New York,,27765,43.08313,-73.78457
Kirkwood,MO,Missouri,,27750,38.58339,-90.40678
Drexel Heights,AZ,Arizona,,27749,32.14119,-111.02843
Deer Park,NY,New York,,27745,40.76177,-73.32929
Lafayette,CO,Colorado,,27729,39.9936,-105.08971
Fridley,MN,Minnesota,,27713,45.08608,-93.26328
West Scarborough,ME,Maine,,27706,43.57036,-70.38783
Queensbury,NY,New York,,27703,43.37729,-73.61317
Roslindale,MA,Massachusetts,,27683,42.29121,-71.1245
Rexburg,ID,Idaho,,27663,43.82602,-111.78969
Wheeling,WV,West Virginia,,27648,40.06396,-80.72091
Shaker Heights,OH,Ohio,,27646,41.47394,-81.53707
Mililani Town,HI,Hawaii,,27629,21.4504,-158.01503
Bergenfield,NJ,New Jersey,,27621,40.9276,-73.99736
Marshalltown,IA,Iowa,,27620,42.04943,-92.90798
Tucker,GA,Georgia,,27581,33.85455,-84.21714
Nutley,NJ,New Jersey,,27572,40.82232,-74.15987
Port Richmond,PA,Pennsylvania,,27554,39.99345,-75.10017
Lake Jackson,TX,Texas,,27533,29.03386,-95.43439
Plum,PA,Pennsylvania,,27505,40.50035,-79.74949
Windsor,CA,California,,27464,38.54713,-122.81638
West Chicago,IL,Illinois,,27447,41.88475,-88.20396
Allen Park,MI,Michigan,,27425,42.25754,-83.21104
Wilmette,IL,Illinois,,27413,42.07225,-87.72284
Imperial Beach,CA,California,,27408,32.58394,-117.11308
Glen Cove,NY,New York,,27400,40.86232,-73.63374
Syracuse,UT,Utah,,27395,41.08939,-112.06467
Maryland Heights,MO,Missouri,,27389,38.71311,-90.42984
Mason City,IA,Iowa,,27366,43.15357,-93.20104
Crofton,MD,Maryland,,27348,39.00178,-76.68747
Anderson,SC,South Carolina,,27335,34.50344,-82.65013
Eagle Mountain,UT,Utah,,27332,40.31412,-112.00688
College Point,NY,New York,,27307,40.7876,-73.84597
Winchester,VA,Virginia,,27284,39.18566,-78.16333
Lindenhurst,NY,New York,,27277,40.68677,-73.37345
Spanaway,WA,Washington,,27227,47.10399,-122.43457
Belmont,CA,California,,27218,37.52021,-122.2758
Hunts Point,NY,New York,,27204,40.8126,-73.88402
Holbrook,NY,New York,,27195,40.81232,-73.07844
New London,CT,Connecticut,,27179,41.35565,-72.09952
Paso Robles,CA,California,,27157,35.62664,-120.691
Tualatin,OR,Oregon,,27154,45.38401,-122.76399
Fleming Island,FL,Florida,,27126,30.0933,-81.71898
Winona,MN,Minnesota,,27094,44.04996,-91.63932
Agua Caliente,CA,California,,27090,38.32408,-122.48804
Thomasville,NC,North Carolina,,27061,35.88264,-80.08199
Casselberry,FL,Florida,,27056,28.67778,-81.32785
Eureka,CA,California,,27017,40.80207,-124.16367
East Saint Louis,IL,Illinois,,27006,38.6245,-90.15094
Garden City,KS,Kansas,,27005,37.97169,-100.87266
Alton,IL,Illinois,,27003,38.8906,-90.18428
Milton,MA,Massachusetts,,27003,42.24954,-71.06616
University Park,FL,Florida,,26995,25.74649,-80.36755
Auburn,NY,New York,,26985,42.93173,-76.56605
Williston,ND,North Dakota,,26977,48.14697,-103.61797
Paramus,NJ,New Jersey,,26974,40.94454,-74.07542
Back Mountain,PA,Pennsylvania,,26973,41.33591,-75.99631
West Milford,NJ,New Jersey,,26968,41.13121,-74.36737
Jeffersontown,KY,Kentucky,,26946,38.19424,-85.5644
Garden City,MI,Michigan,,26920,42.32559,-83.33104
Horn Lake,MS,Mississippi,,26915,34.95537,-90.03481
Stoughton,MA,Massachusetts,,26915,42.1251,-71.10227
Easton,PA,Pennsylvania,,26915,40.68843,-75.22073
Prairieville,LA,Louisiana,,26895,30.30297,-90.97205
Hyde Park,IL,Illinois,,26893,41.7942,-87.59394
Dix Hills,NY,New York,,26892,40.80482,-73.33623
Gladstone,MO,Missouri,,26861,39.20389,-94.55468
Cutler Ridge,FL,Florida,,26831,25.58066,-80.34672
Independence,KY,Kentucky,,26819,38.94312,-84.54411
Watertown,NY,New York,,26780,43.97478,-75.91076
Wooster,OH,Ohio,,26749,40.80517,-81.93646
Bessemer,AL,Alabama,,26730,33.40178,-86.95444
Merrimack,NH,New Hampshire,,26726,42.86509,-71.4934
Lemon Grove,CA,California,,26709,32.74255,-117.03142
Kankakee,IL,Illinois,,26676,41.12003,-87.86115
Wethersfield,CT,Connecticut,,26668,41.71427,-72.65259
Bristol,TN,Tennessee,,26666,36.59511,-82.18874
McHenry,IL,Illinois,,26657,42.33335,-88.26675
Saugus,MA,Massachusetts,,26628,42.46482,-71.01005
